t,|i=1,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=3,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=4,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,HC,SC,ITHC,TC,|i=5,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=6,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC,|i=7,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,1,[0],0.0,0.0,0.0,0.0,0,0,"[0, 0.0, 0]","[0, 0.0, 0]",0,0,1,1.0,1.0,7,0,0,0.0,0.0,|,0.0,[0],4.0,4.0,0,"[0, 4.0, 0]",0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,3.0,0,"[0, 0, 0, 3.0, 0, 0, 0]",0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0,|,3.0,[0],4.0,4.0,4.0,4.0,0,0,"[0, 0, 4.0, 0, 0]","[0, 0, 4.0, 0, 0]",0,0,3.0,3.0,1.0,13.0,0.0,0,0.0,0.0,|,4.0,[0],1.0,1.0,0,"[0, 0, 0, 0, 1.0, 0, 0, 0, 0]",0,4.0,4.0,1.0,28.0,0.0,0,0.0,0.0,|,4.0,[0],12.0,12.0,0,"[0, 12.0, 0]",0,4.0,4.0,1.0,4.0,0.0,0,0.0,0.0,|,4.0,[0],15.0,15.0,0,"[0, 0, 15.0, 0, 0]",0,4.0,4.0,1.0,12.0,0.0,0,0.0,0.0
1,|,6,[0],5.0,5.0,5.0,5.0,0.0,0.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,6,6.0,1.0,1.0,0.0,0,0.0,0.0,|,5.0,[0],6.0,6.0,4.0,"[0, 6.0, 0]",0.0,5.0,5.0,1.0,7.0,0.0,0,0.0,0.0,|,5.0,[0],6.0,9.0,0,"[0, 0, 3.0, 6.0, 0, 0, 0]",0,5.0,5.0,1.0,19.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,6.0,10.0,10.0,0,0,"[0, 4.0, 6.0, 0, 0]","[0, 4.0, 6.0, 0, 0]",0,0,6.0,6.0,1.0,7.0,0.0,0,0.0,0.0,|,6.0,[0],3.0,4.0,0,"[0, 0, 0, 1.0, 3.0, 0, 0, 0, 0]",0,6.0,6.0,1.0,22.0,0.0,0,0.0,0.0,|,6.0,[0],4.0,4.0,12.0,"[0, 4.0, 0]",0.0,6.0,6.0,1.0,10.0,0.0,0,0.0,0.0,|,6.0,[0],3.0,18.0,0,"[0, 15.0, 3.0, 0, 0]",0,6.0,6.0,1.0,6.0,0.0,0,0.0,0.0
2,|,6,[0],6.0,6.0,6.0,6.0,5.0,5.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,6.0,6.0,1.0,0.0,0.0,0,0.0,0.0,|,6.0,[0],7.0,7.0,6.0,"[0, 7.0, 0]",0.0,6.0,6.0,1.0,7.0,0.0,0,0.0,0.0,|,6.0,[0],7.0,16.0,0,"[0, 3.0, 6.0, 7.0, 0, 0, 0]",0,6.0,6.0,1.0,13.0,0.0,0,0.0,0.0,|,7.0,[0],8.0,8.0,14.0,14.0,4.0,4.0,"[0, 6.0, 8.0, 0, 0]","[0, 6.0, 8.0, 0, 0]",0.0,0.0,7.0,7.0,1.0,4.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,11.0,0,"[0, 0, 1.0, 3.0, 7.0, 0, 0, 0, 0]",0,7.0,7.0,1.0,15.0,0.0,0,0.0,0.0,|,8.0,[0],3.0,3.0,4.0,"[0, 3.0, 0]",0.0,8.0,8.0,1.0,6.0,0.0,0,0.0,0.0,|,8.0,[0],8.0,11.0,15.0,"[0, 3.0, 8.0, 0, 0]",0.0,8.0,8.0,1.0,13.0,0.0,0,0.0,0.0
3,|,9,[0],9.0,9.0,9.0,9.0,6.0,6.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,6.0,6.0,0.8636363636363636,-3.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,5.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,22.0,3.0,"[0, 6.0, 7.0, 9.0, 0, 0, 0]",0.0,9.0,9.0,1.0,7.0,0.0,0,0.0,0.0,|,9.0,[0],10.0,10.0,18.0,18.0,6.0,6.0,"[0, 8.0, 9.0, 0, 0]","[0, 8.0, 10.0, 0, 0]",0.0,0.0,9.0,9.0,1.0,1.0,0.0,0,0.0,0.0,|,9.0,[0],8.0,19.0,0,"[0, 1.0, 3.0, 7.0, 8.0, 0, 0, 0, 0]",0,9.0,9.0,1.0,6.0,0.0,0,0.0,0.0,|,10.0,[0],13.0,13.0,3.0,"[0, 13.0, 0]",0.0,9.0,9.0,0.9642857142857143,-1.0,0,0.0,0.0,0.0,|,10.0,[0],8.0,16.0,3.0,"[0, 8.0, 8.0, 0, 0]",0.0,10.0,10.0,1.0,6.0,0.0,0,0.0,0.0
4,|,0,[0],0.0,0.0,0.0,0.0,9.0,9.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,3.0,0.0,0.8636363636363636,6.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,9.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,14.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,16.0,6.0,"[0, 7.0, 9.0, 0.0, 0, 0, 0]",0.0,0.0,0.0,1.0,13.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,10.0,10.0,8.0,8.0,"[0, 9.0, 1.0, 0, 0]","[0, 10.0, 0.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,9.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,18.0,1.0,"[0, 3.0, 7.0, 8.0, 0.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,7.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,13.0,"[0, 0.0, 0]",0.0,1.0,0.0,0.9642857142857143,12.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,8.0,8.0,"[0, 8.0, 0.0, 0, 0]",0.0,0.0,0.0,1.0,14.0,0.0,0,0.0,0.0
5,|,6,[0],6.0,6.0,6.0,6.0,0.0,0.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,6.0,6.0,0.8928571428571429,0.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,6.0,0.0,"[0, 6.0, 0]",0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,15.0,7.0,"[0, 9.0, 0.0, 6.0, 0, 0, 0]",0.0,6.0,6.0,1.0,14.0,0.0,0,0.0,0.0,|,6.0,[0],0.0,0.0,1.0,0.0,9.0,10.0,"[0, 1.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,1.0,6.0,6.0,1.0,12.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,21.0,3.0,"[0, 7.0, 8.0, 0.0, 6.0, 0, 0, 0, 0]",0.0,6.0,6.0,1.0,4.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,0.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9642857142857143,12.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0.0, 0, 0]",0.0,0.0,0.0,1.0,22.0,0.0,0,0.0,0.0
6,|,4,[0],4.0,4.0,4.0,4.0,6.0,6.0,"[0, 4.0, 0]","[0, 4.0, 0]",0.0,0.0,4.0,4.0,0.90625,2.0,0.0,0,0.0,0.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,1.0,10.0,0.0,0,0.0,0.0,|,4.0,[0],4.0,10.0,9.0,"[0, 0.0, 6.0, 4.0, 0, 0, 0]",0.0,4.0,4.0,1.0,19.0,0.0,0,0.0,0.0,|,4.0,[0],0.0,0.0,0.0,0.0,1.0,0.0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,0.0,4.0,4.0,1.0,9.0,0.0,0,0.0,0.0,|,4.0,[0],4.0,18.0,7.0,"[0, 8.0, 0.0, 6.0, 4.0, 0, 0, 0, 0]",0.0,4.0,4.0,1.0,7.0,0.0,0,0.0,0.0,|,0.0,[0],5.0,5.0,0.0,"[0, 5.0, 0]",0.0,0.0,0.0,0.9642857142857143,12.0,0.0,0,0.0,0.0,|,0.0,[0],6.0,6.0,0.0,"[0, 0.0, 6.0, 0, 0]",0.0,0.0,0.0,1.0,22.0,0.0,0,0.0,0.0
7,|,7,[0],7.0,7.0,7.0,7.0,4.0,4.0,"[0, 7.0, 0]","[0, 7.0, 0]",0.0,0.0,6.0,6.0,0.8974358974358975,-1.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,4.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,7.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,17.0,0.0,"[0, 6.0, 4.0, 7.0, 0, 0, 0]",0.0,7.0,7.0,1.0,12.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,7.0,0.0,0.0,"[0, 0.0, 7.0, 0, 0]","[0, 0.0, 7.0, 0, 0]",0.0,0.0,7.0,7.0,1.0,2.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,17.0,8.0,"[0, 0.0, 6.0, 4.0, 7.0, 0, 0, 0, 0]",0.0,7.0,7.0,1.0,8.0,0.0,0,0.0,0.0,|,7.0,[0],11.0,11.0,5.0,"[0, 11.0, 0]",0.0,7.0,7.0,0.9714285714285714,10.0,0.0,0,0.0,0.0,|,7.0,[0],10.0,16.0,0.0,"[0, 6.0, 10.0, 0, 0]",0.0,7.0,7.0,1.0,15.0,0.0,0,0.0,0.0
8,|,4,[0],4.0,4.0,4.0,4.0,7.0,7.0,"[0, 4.0, 0]","[0, 4.0, 0]",0.0,0.0,5.0,4.0,0.9069767441860465,2.0,0.0,0,0.0,0.0,|,4.0,[0],4.0,4.0,7.0,"[0, 4.0, 0]",0.0,4.0,4.0,1.0,10.0,0.0,0,0.0,0.0,|,4.0,[0],4.0,15.0,6.0,"[0, 4.0, 7.0, 2.0, 0, 0, 0]",0.0,4.0,4.0,1.0,14.0,0.0,0,0.0,0.0,|,4.0,[0],9.0,9.0,16.0,16.0,0.0,0.0,"[0, 7.0, 9.0, 0, 0]","[0, 7.0, 9.0, 0, 0]",0.0,0.0,2.0,2.0,0.9565217391304348,-2.0,0.0,0.0,0.0,0.0,|,4.0,[0],4.0,21.0,0.0,"[0, 6.0, 4.0, 7.0, 4.0, 0, 0, 0, 0]",0.0,4.0,4.0,1.0,4.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,9.0,11.0,"[0, 9.0, 0]",0.0,9.0,9.0,0.9772727272727273,12.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,19.0,6.0,"[0, 10.0, 9.0, 0, 0]",0.0,9.0,9.0,1.0,12.0,0.0,0,0.0,0.0
9,|,7,[0],7.0,7.0,7.0,7.0,4.0,4.0,"[0, 7.0, 0]","[0, 7.0, 0]",0.0,0.0,6.0,6.0,0.9,-1.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,4.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,7.0,0.0,0,0.0,0.0,|,7.0,[0],5.0,16.0,4.0,"[0, 7.0, 2.0, 7.0, 0, 0, 0]",0.0,7.0,7.0,1.0,11.0,0.0,0,0.0,0.0,|,5.0,[0],2.0,2.0,11.0,11.0,7.0,7.0,"[0, 9.0, 2.0, 0, 0]","[0, 9.0, 2.0, 0, 0]",0.0,0.0,7.0,5.0,0.9607843137254902,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,22.0,6.0,"[0, 4.0, 7.0, 4.0, 7.0, 0, 0, 0, 0]",0.0,7.0,7.0,1.0,3.0,0.0,0,0.0,0.0,|,2.0,[0],0.0,0.0,9.0,"[0, 0.0, 0]",0.0,2.0,2.0,0.9782608695652174,19.0,0.0,0,0.0,0.0,|,2.0,[0],0.0,9.0,10.0,"[0, 9.0, 0.0, 0, 0]",0.0,2.0,2.0,1.0,20.0,0.0,0,0.0,0.0
